"state","district","market","commodity","variety","arrival_date","min_price","max_price","modal_price"
"Gujarat","Rajkot","Rajkot","Cotton","Narma BT Cotton","12/11/2019","4100","5025","4775"
"Gujarat","Rajkot","Rajkot","Cummin Seed(Jeera)","Cummin Seed(Jeera)","12/11/2019","13700","15000","14700"
"Gujarat","Rajkot","Rajkot","Green Gram (Moong)(Whole)","Green (Whole)","12/11/2019","4500","6500","5250"
"Gujarat","Rajkot","Rajkot","Ground Nut Seed","Ground Nut Seed","12/11/2019","5230","6050","5750"
"Gujarat","Rajkot","Rajkot","Groundnut","Bold","12/11/2019","3625","4455","4240"
"Gujarat","Rajkot","Rajkot","Groundnut","G20","12/11/2019","3750","4950","4295"
"Gujarat","Rajkot","Rajkot","Jowar(Sorghum)","Jowar ( White)","12/11/2019","2895","3445","3250"
"Gujarat","Rajkot","Rajkot","Jowar(Sorghum)","Jowar (Yellow)","12/11/2019","2210","2590","2475"
"Gujarat","Rajkot","Rajkot","Maize","Red","12/11/2019","1800","2115","2000"
"Gujarat","Rajkot","Rajkot","Methi Seeds","Methiseeds","12/11/2019","3500","5860","4750"
"Gujarat","Rajkot","Rajkot","Mustard","Mustard","12/11/2019","3880","3880","3880"
"Gujarat","Rajkot","Rajkot","Sesamum(Sesame,Gingelly,Til)","Black","12/11/2019","14270","16740","16375"
"Gujarat","Rajkot","Rajkot","Sesamum(Sesame,Gingelly,Til)","White","12/11/2019","9500","13500","11050"
"Gujarat","Rajkot","Rajkot","Wheat","Lokwan","12/11/2019","2055","2225","2110"
"Gujarat","Rajkot","Rajkot","Wheat","Sharbati","12/11/2019","2105","2380","2190"
"Gujarat","Rajkot","Rajkot(Ghee Peeth)","Bhindi(Ladies Finger)","Bhindi","12/11/2019","1500","2800","2375"
"Gujarat","Rajkot","Rajkot(Ghee Peeth)","Bottle gourd","Bottle Gourd","12/11/2019","1500","2500","2125"
"Gujarat","Rajkot","Rajkot(Ghee Peeth)","Brinjal","Brinjal","12/11/2019","750","1700","1375"
